Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
Unreal Engine Blueprints-Foundations and Practical Mechanics,Design And Product,EDUCBA,4.5,17,,,,en,https://www.coursera.org/learn/unreal-engine-blueprints-foundations-and-practical-mechanics,Free Audit / Pay for Cert,Individual Course
Data Structures in Python,Data Analysis,Google,4.9,12,,,Intermediate,en,https://www.coursera.org/learn/google-data-structures-in-python,Free Audit / Pay for Cert,Individual Course
Marketing with Zapier & ChatGPT: Automated Content Calendars,"Cloud Computing, Marketing",Coursera,,0,1 hour,1.0,Intermediate,en,https://www.coursera.org/learn/marketing-with-zapier--chatgpt-automated-content-calendars,Free Audit / Pay for Cert,Individual Course
Learn OpenAI's Assistant API,"Software Development, Mobile And Web Development",Scrimba,4.6,22,4 hours of study,4.0,Intermediate,en,https://www.coursera.org/learn/openais-assistant-api,Free Audit / Pay for Cert,Individual Course
Analytics Engineering Workflows with dbt,"Data Management, Software Development",Edureka,,2,"3 weeks of study, 3-4 hours/week",10.5,Intermediate,en,https://www.coursera.org/learn/analytics-engineering-workflows-with-dbt,Free Audit / Pay for Cert,Individual Course
Famine as Genocide: The Holodomor in Ukraine,"History, Governance And Society",University of Alberta,,0,"12 weeks of study, 1-2 hours/week",18.0,Beginner,en,https://www.coursera.org/learn/holodomor,Free Audit / Pay for Cert,Individual Course
PyMongo - Beginners,Software Development,EDUCBA,4.3,11,,,Intermediate,en,https://www.coursera.org/learn/pymongo-beginners,Free Audit / Pay for Cert,Individual Course
Communicate with Polish,Leadership And Management,Harvard Business Review ,,1,4 hours,4.0,Intermediate,en,https://www.coursera.org/learn/communicate-with-polish,Free Audit / Pay for Cert,Individual Course
Advanced Topics and Future Trends in Database Technologies,"Data Management, Data Analysis",University of Colorado Boulder,4.6,78,"Four weeks of study, three to five hours per week",,Beginner,en,https://www.coursera.org/learn/advanced-topics-future-trends-database-technologies,Free Audit / Pay for Cert,Individual Course
Files and directories in the Linux filesystem,"Support And Operations, Data Management",Coursera,4.6,2,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/files-directories-linux-filesystem,Free Audit / Pay for Cert,Individual Course
Educación Matemática para profesores de infantil. Curso 1,"Math And Logic, Personal Development",Universidad de los Andes,4.8,82,Aproximadamente 6 horas de trabajo semanales durante 4 semanas ,40.0,Beginner,es,https://www.coursera.org/learn/educacion-matematica-para-profesores-de-infantil-curso-1,Free Audit / Pay for Cert,Individual Course
Developing An Entrepreneurial Mindset: First Step Towards Success ,Entrepreneurship,Michigan State University,4.5,953,,,,en,https://www.coursera.org/learn/entrepreneurial-mindset,Free Audit / Pay for Cert,Individual Course
Build an Endless Runner Game in 3D - Unity 6 Compatible,"Software Development, Design And Product",Packt,,0,,,Beginner,en,https://www.coursera.org/learn/packt-build-an-endless-runner-game-in-3d-unity-6-compatible-twyym,Free Audit / Pay for Cert,Individual Course
Bitcoin Transaction & Network Security ,"Software Development, Support And Operations",AI CERTs,,1,,,Intermediate,en,https://www.coursera.org/learn/bitcoin-transaction-network-security,Free Audit / Pay for Cert,Individual Course
Microcontrollers: Basic Architecture and Design,"Electrical Engineering, Design And Product",University of Colorado Boulder,,3,,,Intermediate,en,https://www.coursera.org/learn/microcontrollers-basic-architecture-and-design,Free Audit / Pay for Cert,Individual Course
An Introduction to the U.S. Food System: Perspectives from Public Health,"Public Health, Governance And Society",Johns Hopkins University,4.7,164,"6 modules. Each contains approximately 2 hours of lecture, 30 minutes of reading, and a short quiz.",2.0,Beginner,en,https://www.coursera.org/learn/food-system,Free Audit / Pay for Cert,Individual Course
中国哲学经典著作导读,Philosophy,Xi'an Jiaotong University,4.5,276,15 hours of videos and quizzes,15.0,,zh-CN,https://www.coursera.org/learn/chinese-philosophy,Free Audit / Pay for Cert,Individual Course
Qlik Sense - Advanced,"Data Management, Data Analysis",Packt,,2,,,Intermediate,en,https://www.coursera.org/learn/packt-qlik-sense-advanced-fipri,Free Audit / Pay for Cert,Individual Course
Advanced Rust Programming and AutoGPT Development,"Software Development, Machine Learning",Packt,,2,,,Intermediate,en,https://www.coursera.org/learn/packt-advanced-rust-programming-and-autogpt-development-rsjkw,Free Audit / Pay for Cert,Individual Course
Introducción al mantenimiento de activos físicos,"Mechanical Engineering, Leadership And Management",Universidad de los Andes,4.9,135,"4 semanas de estudio, 5-6 horas/semana",40.0,Beginner,es,https://www.coursera.org/learn/introduccion-al-mantenimiento-de-activos-fisicos,Free Audit / Pay for Cert,Individual Course
Building Candlestick Charts with Google Sheets,Finance,Coursera,4.2,47,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/building-candlestick-charts-google-sheets,Free Audit / Pay for Cert,Individual Course
Blender for Filmmakers: Turn 2D Photos into 3D Scenes,"Music And Art, Design And Product",Skillshare,,0,,,Intermediate,en,https://www.coursera.org/learn/blender-for-filmmakers-turn-2d-photos-into-3d-scenes,Free Audit / Pay for Cert,Individual Course
Inspirar el liderazgo a través de la inteligencia emocional,"Leadership And Management, Personal Development",Case Western Reserve University,4.6,129,"12 horas de videos, cuestionarios y tareas para el hogar",12.0,Beginner,es,https://www.coursera.org/learn/emotional-intelligence-leadership-es,Free Audit / Pay for Cert,Individual Course
Building intelligent agent workflows,"Design And Product, Mobile And Web Development",Microsoft,,4,2 total weeks/7.75 hours per week,7.75,Intermediate,en,https://www.coursera.org/learn/microsoft-building-intelligent-agent-workflows,Free Audit / Pay for Cert,Individual Course
Reconciling Account Data with Cloud Spanner Change Streams,"Cloud Computing, Support And Operations",Google Cloud,,0,45 minutes,0.75,Intermediate,en,https://www.coursera.org/learn/googlecloud-reconciling-account-data-with-cloud-spanner-change-streams-boti7,Free Audit / Pay for Cert,Individual Course
Experiments and Variations in Bipedalism,Basic Science,Dartmouth College,,4,,,,en,https://www.coursera.org/learn/experiments-and-variations-in-bipedalism,Free Audit / Pay for Cert,Individual Course
 Python بُنى بيانات,"Software Development, Data Analysis",University of Michigan,,0,2 إلى 4 ساعات في الأسبوع,2.0,,ar,https://www.coursera.org/learn/python-data-ar,Free Audit / Pay for Cert,Individual Course
GenAI for Sales Ops: Automating Workflow Efficiency,"Machine Learning, Business Essentials",Coursera,,0,2 Hours and 30 Minutes,2.0,Intermediate,en,https://www.coursera.org/learn/genai-for-sales-ops-automating-workflow-efficiency,Free Audit / Pay for Cert,Individual Course
Proteger a los campeones: Entrenamiento deportivo práctico,Public Health,Real Madrid Graduate School Universidad Europea,,0,,,Beginner,es,https://www.coursera.org/learn/proteger-a-los-campeones-entrenamiento-deportivo-practico,Free Audit / Pay for Cert,Individual Course
Java Programming: Principles of Software Design,Software Development,Duke University,4.6,1497,"4 weeks of study, 4-8 hours/week",24.0,Beginner,en,https://www.coursera.org/learn/java-programming-design-principles,Free Audit / Pay for Cert,Individual Course
High-Impact Business Writing,Business Essentials,"University of California, Irvine",4.5,3916,"4-8 hours of videos, readings, and quizzes",6.0,Beginner,en,https://www.coursera.org/learn/business-writing,Free Audit / Pay for Cert,Individual Course
Chi-Square Tests of Hypotheses About Frequency Tables,"Data Analysis, Psychology",American Psychological Association,,2,5 weeks,50.0,Beginner,en,https://www.coursera.org/learn/chi-square-tests-of-hypotheses-about-frequency-tables,Free Audit / Pay for Cert,Individual Course
Using probability distributions for real world problems in R,Probability And Statistics,Coursera,4.8,2,1.5 hours,1.5,Beginner,en,https://www.coursera.org/learn/probability-distributions-real-world-problems-r,Free Audit / Pay for Cert,Individual Course
Introduction to Enterprise Growth and Innovation,"Entrepreneurship, Healthcare Management",Northeastern University ,,5,4 weeks of study,40.0,Beginner,en,https://www.coursera.org/learn/introduction-to-enterprise-growth-and-innovation,Free Audit / Pay for Cert,Individual Course
Cyber Security Fundamentals,Computer Security And Networks,University of London,,40435,Three weeks of study with 6-7 hours of learning material per week.,6.5,Beginner,en,https://www.coursera.org/learn/cyber-security-fundamentals,Free Audit / Pay for Cert,Individual Course
Unity: Master Procedural Fractal & Spline Design,Design And Product,EDUCBA,,0,,,,en,https://www.coursera.org/learn/unity-master-procedural-fractal-spline-design,Free Audit / Pay for Cert,Individual Course
Model Evaluation and Benchmarking,"Machine Learning, Algorithms",Coursera,,0,1.5 hours,1.5,Intermediate,en,https://www.coursera.org/learn/model-evaluation-and-benchmarking,Free Audit / Pay for Cert,Individual Course
مهارات الإكسل الخاصة التجارية: المستوى المتوسط الثاني,"Business Essentials, Data Analysis",Macquarie University,,0,"6 weeks of study, 2-4 hours/week",18.0,Intermediate,ar,https://www.coursera.org/learn/excel-intermediate-2-ar,Free Audit / Pay for Cert,Individual Course
A Theoretical Origin of Ethics in Business and Tech Industry,"Leadership And Management, Personal Development",University of Colorado Boulder,,1,"3 weeks of study, 9 hours/week",27.0,Beginner,en,https://www.coursera.org/learn/a-theoretical-origin-of-ethics-in-business-and-tech-industry,Free Audit / Pay for Cert,Individual Course
Take your resume to the next level with Canva,"Entrepreneurship, Personal Development",Coursera,4.2,4,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/take-your-resume-to-the-next-level-with-canva,Free Audit / Pay for Cert,Individual Course
Erste Schritte in Instagram for Business,"Marketing, Business Essentials",Coursera,,0,2 Stunden,2.0,Beginner,de,https://www.coursera.org/learn/erste-schritte-instagram-business,Free Audit / Pay for Cert,Individual Course
Bookkeeping basics,Business Essentials,Intuit,4.6,6562,,,Beginner,en,https://www.coursera.org/learn/bookkeeping-basics,Free Audit / Pay for Cert,Individual Course
