Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
Argo CD for the Absolute Beginners - Hands-On DevOps,"Cloud Computing, Support And Operations",Packt,,0,,,Beginner,en,https://www.coursera.org/learn/packt-argo-cd-for-the-absolute-beginners-hands-on-devops-pqpos,Free Audit / Pay for Cert,Individual Course
Launching Your Freelancing Business,"Entrepreneurship, Marketing",California Institute of the Arts,4.8,56,,,Intermediate,en,https://www.coursera.org/learn/launching-your-freelancing-business,Free Audit / Pay for Cert,Individual Course
Management of Urban Infrastructures – part 1,"Leadership And Management, Governance And Society",École Polytechnique Fédérale de Lausanne,4.6,802,"5 weeks of study, 1-3 hours/week",10.0,,en,https://www.coursera.org/learn/managing-urban-infrastructures-1,Free Audit / Pay for Cert,Individual Course
Interfacing with the Arduino,Electrical Engineering,"University of California, Irvine",4.7,3957,"4 weeks of study, 2-3 hours/week",10.0,,en,https://www.coursera.org/learn/interface-with-arduino,Free Audit / Pay for Cert,Individual Course
Erstelle Social Media Anzeigen in Canva,"Marketing, Design And Product",Coursera,,0,2 Stunden,2.0,Beginner,de,https://www.coursera.org/learn/erstelle-social-media-anzeigen-canva,Free Audit / Pay for Cert,Individual Course
Multimodal and cross-modal AI integrations,"Software Development, Machine Learning",Microsoft,,1,2.5 weeks/8 hours per week,20.0,Intermediate,en,https://www.coursera.org/learn/microsoft-multimodal-and-cross-modal-ai-integrations,Free Audit / Pay for Cert,Individual Course
Eventarc for Cloud Run,"Cloud Computing, Data Management",Google Cloud,,0,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/googlecloud-eventarc-for-cloud-run-rupds,Free Audit / Pay for Cert,Individual Course
Free Will and Neuroscience,"Philosophy, Basic Science",Dartmouth College,4.6,10,,,,en,https://www.coursera.org/learn/free-will-and-neuroscience,Free Audit / Pay for Cert,Individual Course
Data Analysis with Tidyverse,"Data Analysis, Other Languages",University of Colorado Boulder,4.1,13,3 to 4 hours per week for five weeks.,4.0,Beginner,en,https://www.coursera.org/learn/data-analysis-with-tidyverse,Free Audit / Pay for Cert,Individual Course
Business Analytics Capstone,"Data Analysis, Business Strategy",University of Pennsylvania,4.5,775,"4 weeks of study, 4-5 hours/week",18.0,Intermediate,en,https://www.coursera.org/learn/wharton-capstone-analytics,Subscription,Capstone Project
Gemini in Google Slides - Français,"Software Development, Cloud Computing",Google Cloud,,0,,,Beginner,fr,https://www.coursera.org/learn/gemini-in-google-slides-fr,Free Audit / Pay for Cert,Individual Course
Project on REST API - Pet Clinic Application,Mobile And Web Development,EDUCBA,5.0,18,,,,en,https://www.coursera.org/learn/project-on-rest-api-pet-clinic-application,Free Audit / Pay for Cert,Individual Course
Uptraining with Document AI Workbench,"Cloud Computing, Software Development",Google Cloud,,0,1 hour,1.0,Intermediate,en,https://www.coursera.org/learn/googlecloud-uptraining-with-document-ai-workbench-yz8yw,Free Audit / Pay for Cert,Individual Course
"Mastering VFX, Simulation & Finalizing Projects in UE5","Software Development, Design And Product",Packt,,1,,,Advanced,en,https://www.coursera.org/learn/packt-unreal-engine-5-beginners-guide-to-building-a-3d-environment-olabh,Free Audit / Pay for Cert,Individual Course
Music Production Capstone,Music And Art,Berklee,4.8,126,"4 weeks of study, 5-8 hours a week",26.0,Intermediate,en,https://www.coursera.org/learn/music-production-capstone,Subscription,Capstone Project
COVID-19 Contact Tracing,"Public Health, Governance And Society",Johns Hopkins University,4.9,95265,"1 week of study, 5-6 hours",10.0,Beginner,en,https://www.coursera.org/learn/covid-19-contact-tracing,Free Audit / Pay for Cert,Individual Course
Ethical Hacking Foundations,"Computer Security And Networks, Networking",Packt,4.3,36,,,Beginner,en,https://www.coursera.org/learn/packt-ethical-hacking-foundations-cacdd,Free Audit / Pay for Cert,Individual Course
Conexión y protección: Redes y seguridad de redes,"Computer Security And Networks, Security",Google,,131,,,Beginner,es,https://www.coursera.org/learn/conexion-y-proteccion-redes-y-seguridad-de-redes,Free Audit / Pay for Cert,Individual Course
Armv8-M Architecture Fundamentals,Software Development,Arm,4.7,51,,,Intermediate,en,https://www.coursera.org/learn/armv8-m-architecture-fundamentals,Free Audit / Pay for Cert,Individual Course
Scrum Advanced - Software Development and Program Management,"Software Development, Design And Product",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-scrum-advanced-software-development-and-program-management-yon70,Free Audit / Pay for Cert,Individual Course
Gemini for Application Developers - Português Brasileiro,"Software Development, Cloud Computing",Google Cloud,,0,,,Beginner,pt-BR,https://www.coursera.org/learn/gemini-for-application-developers-ptbr,Free Audit / Pay for Cert,Individual Course
Sustentabilidad: los desafíos desde Latinoamérica,"Environmental Science And Sustainability, Governance And Society",Pontificia Universidad Católica de Chile,4.9,118,,,Beginner,es,https://www.coursera.org/learn/sustentabilida-desafios-latinoamerica,Free Audit / Pay for Cert,Individual Course
Create Your UX portfolio with Crevado,Design And Product,Coursera,3.9,1,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/create-ux-portfolio-crevado,Free Audit / Pay for Cert,Individual Course
Preventative Healthcare for the Newborn Baby ,Patient Care,University of Colorado System,4.8,630,,,Beginner,en,https://www.coursera.org/learn/preventive-healthcare-newborn-baby,Free Audit / Pay for Cert,Individual Course
AI for Education (Basic),"Education, Personal Development",Kennesaw State University,4.9,18,,,Beginner,en,https://www.coursera.org/learn/ai-for-education-basic,Free Audit / Pay for Cert,Individual Course
Kali Linux,"Computer Security And Networks, Software Development",Board Infinity ,,1727,"2 week of study, 2 hours/week",4.0,Intermediate,en,https://www.coursera.org/learn/kali-linux,Free Audit / Pay for Cert,Individual Course
